Index,Lot,Time,pH,Temp,Current,Voltage
1,1,오후 4:21:02.0,1.56,26.15,3.51,4.69
2,1,오후 4:21:07.0,2.76,23.72,4.43,4.43
3,1,오후 4:21:12.0,1.9,23.43,3.14,3.9
4,1,오후 4:21:17.0,1.59,26.48,3.26,3.22
5,1,오후 4:21:22.0,2.34,24.21,3.35,3.55
6,1,오후 4:21:27.0,2.18,21.78,3.23,3.54
7,1,오후 4:21:32.0,2.01,27.96,4.34,3.36
8,1,오후 4:21:37.0,1.79,27.57,4.44,4.37
9,1,오후 4:21:42.0,2.64,21.54,4.06,4.59
10,1,오후 4:21:47.0,2.12,24.0,3.44,3.25
11,1,오후 4:21:52.0,1.69,26.97,3.66,3.22
12,1,오후 4:21:57.0,2.97,27.01,3.58,3.98
13,1,오후 4:22:02.0,2.28,27.52,4.12,4.17
14,1,오후 4:22:07.0,2.0,25.94,3.34,4.26
15,1,오후 4:22:12.0,2.23,25.33,4.49,3.68
16,1,오후 4:22:17.0,1.62,24.32,4.32,4.28
17,1,오후 4:22:22.0,1.95,27.05,4.46,4.78
18,1,오후 4:22:27.0,2.62,27.22,3.26,4.75
19,1,오후 4:22:32.0,2.73,25.27,4.37,3.11
20,1,오후 4:22:37.0,1.88,22.31,3.98,3.02
21,1,오후 4:22:42.1,1.68,23.4,3.75,3.01
22,1,오후 4:22:47.1,2.15,27.69,4.24,3.79
23,1,오후 4:22:52.1,2.78,23.81,4.47,3.27
24,1,오후 4:22:57.1,2.11,26.06,4.31,3.55
25,1,오후 4:23:02.1,2.37,27.27,3.76,3.01
26,1,오후 4:23:07.1,2.18,22.34,4.42,3.66
27,1,오후 4:23:12.1,1.83,24.07,3.46,3.63
28,1,오후 4:23:17.1,2.85,24.44,3.57,4.05
29,1,오후 4:23:22.1,2.08,25.31,3.63,3.01
30,1,오후 4:23:27.1,2.23,24.36,3.34,4.11
31,1,오후 4:23:32.1,1.74,21.03,3.96,4.5
32,1,오후 4:23:37.1,2.02,22.27,3.94,4.18
33,1,오후 4:23:42.1,2.55,24.31,4.18,4.63
34,1,오후 4:23:47.1,1.7,22.8,3.43,3.37
35,1,오후 4:23:52.1,1.9,25.59,3.08,3.37
36,1,오후 4:23:57.1,2.91,23.72,3.68,4.09
37,1,오후 4:24:02.1,2.5,27.33,3.32,4.21
38,1,오후 4:24:07.1,2.75,22.19,3.97,4.54
39,1,오후 4:24:12.1,2.71,24.93,3.72,4.65
40,1,오후 4:24:17.2,2.92,24.28,4.2,4.11
41,1,오후 4:24:22.2,2.14,23.08,3.32,4.33
42,1,오후 4:24:27.2,2.22,27.33,3.01,3.59
43,1,오후 4:24:32.2,2.06,27.68,3.57,3.97
44,1,오후 4:24:37.2,2.59,27.28,4.48,3.84
45,1,오후 4:24:42.2,2.95,24.12,3.06,4.28
46,1,오후 4:24:47.2,1.67,22.5,4.4,3.59
47,1,오후 4:24:52.2,2.59,24.1,4.11,4.68
48,1,오후 4:24:57.2,2.12,22.99,3.18,4.24
49,1,오후 4:25:02.2,2.99,26.65,3.57,4.78
50,1,오후 4:25:07.2,1.63,21.19,3.76,4.24
51,1,오후 4:25:12.2,2.16,27.44,3.39,4.33
