Index,Lot,Time,pH,Temp,Current,Voltage
1,1,오후 4:26:16.0,1.6,24.13,4.39,4.45
2,1,오후 4:26:21.0,1.84,27.25,4.14,4.39
3,1,오후 4:26:26.0,2.04,26.45,3.07,4.73
4,1,오후 4:26:31.0,3.38,27.26,3.96,3.11
5,1,오후 4:26:36.0,1.99,27.83,3.9,3.18
6,1,오후 4:26:41.0,2.7,24.68,3.13,4.15
7,1,오후 4:26:46.0,1.52,26.34,3.76,4.98
8,1,오후 4:26:51.0,1.54,26.32,3.85,4.41
9,1,오후 4:26:56.0,1.96,22.87,3.67,4.5
10,1,오후 4:27:01.0,2.18,24.47,4.18,4.0
11,1,오후 4:27:06.0,2.22,27.37,3.71,3.73
12,1,오후 4:27:11.0,2.28,27.12,3.71,4.48
13,1,오후 4:27:16.0,2.86,21.1,4.19,4.64
14,1,오후 4:27:21.0,2.61,26.69,4.34,3.73
15,1,오후 4:27:26.0,2.45,21.13,3.55,3.53
16,1,오후 4:27:31.0,2.53,27.26,4.06,3.29
17,1,오후 4:27:36.0,1.91,27.28,4.05,3.65
18,1,오후 4:27:41.0,1.89,26.34,3.7,3.07
19,1,오후 4:27:46.0,2.81,24.74,3.09,4.09
20,1,오후 4:27:51.0,1.92,26.55,3.45,4.67
21,1,오후 4:27:56.0,2.34,22.08,3.88,3.72
22,1,오후 4:28:01.1,2.96,27.1,4.37,3.09
23,1,오후 4:28:06.1,1.94,21.77,4.16,4.96
24,1,오후 4:28:11.1,2.83,26.91,3.52,3.8
25,1,오후 4:28:16.1,1.6,25.04,3.7,3.77
26,1,오후 4:28:21.1,1.79,21.82,3.08,3.91
27,1,오후 4:28:26.1,1.84,24.76,3.79,4.93
28,1,오후 4:28:31.1,1.7,26.59,3.32,4.1
29,1,오후 4:28:36.1,2.98,22.47,4.19,4.2
30,1,오후 4:28:41.1,3.38,27.26,3.96,3.11
31,1,오후 4:28:46.1,2.64,24.72,4.07,4.64
32,1,오후 4:28:51.1,1.98,23.26,3.31,3.34
33,1,오후 4:28:56.1,2.77,22.23,3.4,3.27
34,1,오후 4:29:01.1,2.25,26.07,4.04,4.57
35,1,오후 4:29:06.1,1.94,24.29,4.2,4.4
36,1,오후 4:29:11.1,2.22,22.65,4.24,4.34
37,1,오후 4:29:16.1,2.82,27.79,3.61,3.51
38,1,오후 4:29:21.1,1.98,22.77,3.37,4.5
39,1,오후 4:29:26.1,3.38,27.26,3.96,3.11
40,1,오후 4:29:31.1,2.23,26.15,3.92,4.76
41,1,오후 4:29:36.1,3.38,27.26,3.96,3.11
42,1,오후 4:29:41.1,2.14,25.61,3.83,3.58
43,1,오후 4:29:46.1,2.15,25.33,4.49,3.08
44,1,오후 4:29:51.2,1.57,22.12,3.29,3.26
45,1,오후 4:29:56.2,2.5,26.98,4.09,3.43
46,1,오후 4:30:01.2,1.93,21.31,3.25,3.66
47,1,오후 4:30:06.2,2.93,24.68,3.66,4.71
48,1,오후 4:30:11.2,1.95,21.97,3.7,4.57
49,1,오후 4:30:16.2,1.87,24.76,3.21,3.89
50,1,오후 4:30:21.2,2.89,26.67,3.27,4.46
51,1,오후 4:30:26.2,2.93,25.28,3.53,4.03
52,1,오후 4:30:31.2,2.65,24.54,3.46,4.42
53,1,오후 4:30:36.2,2.56,25.48,3.31,3.51
