Index,Lot,Time,pH,Temp,Current,Voltage
1,1,오후 4:29:20.0,2.97,27.2,3.02,3.68
2,1,오후 4:29:25.0,1.53,21.72,3.97,4.41
3,1,오후 4:29:30.0,1.9,23.54,4.42,3.93
4,1,오후 4:29:35.0,2.05,22.28,3.28,4.79
5,1,오후 4:29:40.0,2.93,26.98,4.48,3.42
6,1,오후 4:29:45.0,2.95,22.44,4.33,4.19
7,1,오후 4:29:50.0,2.38,24.34,3.7,3.74
8,1,오후 4:29:55.0,2.26,27.8,4.07,3.5
9,1,오후 4:30:00.0,1.87,23.65,2.33,3.01
10,1,오후 4:30:05.0,2.38,22.17,4.48,3.42
11,1,오후 4:30:10.0,2.99,24.64,3.57,4.57
12,1,오후 4:30:15.0,1.55,24.64,4.14,4.09
13,1,오후 4:30:20.0,2.79,24.71,3.35,3.11
14,1,오후 4:30:25.0,2.76,24.59,3.76,3.98
15,1,오후 4:30:30.0,1.75,23.65,3.92,4.82
16,1,오후 4:30:35.0,2.8,26.8,3.32,4.38
17,1,오후 4:30:40.0,1.59,27.95,3.44,3.58
18,1,오후 4:30:45.0,2.76,24.66,4.07,4.17
19,1,오후 4:30:50.0,2.24,27.46,3.4,3.22
20,1,오후 4:30:55.0,1.66,25.15,3.21,3.86
21,1,오후 4:31:00.0,1.82,22.18,3.75,4.56
22,1,오후 4:31:05.0,1.86,24.69,3.53,4.91
23,1,오후 4:31:10.0,2.84,25.7,3.6,4.35
24,1,오후 4:31:15.1,2.62,25.94,4.16,3.67
25,1,오후 4:31:20.1,2.5,25.66,3.16,4.71
26,1,오후 4:31:25.1,2.61,24.03,3.06,3.55
27,1,오후 4:31:30.1,2.24,27.48,4.09,3.57
28,1,오후 4:31:35.1,2.76,21.91,4.09,3.41
29,1,오후 4:31:40.1,2.1,27.66,4.23,3.01
30,1,오후 4:31:45.1,1.87,23.65,2.33,3.01
31,1,오후 4:31:50.1,1.55,24.47,4.38,4.42
32,1,오후 4:31:55.1,2.34,25.62,3.45,4.17
33,1,오후 4:32:00.1,2.45,21.61,3.92,4.03
34,1,오후 4:32:05.1,2.48,26.46,4.1,4.1
35,1,오후 4:32:10.1,1.66,25.23,4.3,3.95
36,1,오후 4:32:15.1,2.15,24.05,3.27,4.48
37,1,오후 4:32:20.1,1.87,23.65,2.33,3.01
38,1,오후 4:32:25.1,2.82,23.8,4.18,4.76
39,1,오후 4:32:30.1,1.74,26.61,3.25,3.39
40,1,오후 4:32:35.1,1.85,24.22,3.27,3.1
41,1,오후 4:32:40.1,2.59,24.57,3.24,4.22
42,1,오후 4:32:45.1,2.37,22.73,3.44,4.43
43,1,오후 4:32:50.1,2.05,23.17,3.48,4.87
44,1,오후 4:32:55.2,2.2,24.72,3.11,4.22
45,1,오후 4:33:00.2,2.13,27.21,4.16,3.13
46,1,오후 4:33:05.2,2.28,24.63,3.79,4.81
47,1,오후 4:33:10.2,2.47,24.33,3.43,3.33
48,1,오후 4:33:15.2,2.32,26.65,3.88,4.37
49,1,오후 4:33:20.2,2.07,25.43,3.5,3.73
50,1,오후 4:33:25.2,2.79,25.34,3.72,3.85
51,1,오후 4:33:30.2,1.92,23.95,3.14,4.31
52,1,오후 4:33:35.2,2.34,24.99,3.13,3.85
53,1,오후 4:33:40.2,2.02,27.17,4.2,4.63
54,1,오후 4:33:45.2,2.54,26.26,3.48,4.63
55,1,오후 4:33:50.2,1.87,23.65,2.33,3.01
56,1,오후 4:33:55.2,1.61,21.84,3.62,4.71
57,1,오후 4:34:00.2,2.85,23.5,4.14,3.37
58,1,오후 4:34:05.2,1.63,21.43,4.42,4.63
59,1,오후 4:34:10.2,1.57,24.3,3.53,4.89
60,1,오후 4:34:15.2,2.04,25.78,3.73,3.09
61,1,오후 4:34:20.2,2.75,21.63,4.15,4.83
62,1,오후 4:34:25.2,1.77,25.62,4.4,4.59
63,1,오후 4:34:30.2,1.81,24.64,4.48,3.81
64,1,오후 4:34:35.2,2.03,21.09,3.93,4.6
65,1,오후 4:34:40.3,2.2,27.06,3.37,3.96
66,1,오후 4:34:45.3,1.69,26.5,4.14,3.08
67,1,오후 4:34:50.3,2.07,23.4,3.06,4.83
68,1,오후 4:34:55.3,2.42,27.13,3.25,4.21
69,1,오후 4:35:00.3,2.98,24.12,3.05,3.88
70,2,오후 4:35:26.1,1.71,24.98,4.17,4.59
71,2,오후 4:35:31.1,2.9,23.03,4.09,4.52
72,2,오후 4:35:36.1,2.33,23.43,3.31,4.52
73,2,오후 4:35:41.1,3.3,26.25,1.65,3.49
74,2,오후 4:35:46.1,1.78,25.6,3.58,3.97
75,2,오후 4:35:51.1,2.6,26.19,4.24,4.01
76,2,오후 4:35:56.1,3.73,25.17,4.4,2.22
77,2,오후 4:36:01.1,1.69,22.98,3.54,3.49
78,2,오후 4:36:06.2,2.41,26.75,3.83,4.14
79,2,오후 4:36:11.2,2.62,23.01,3.82,3.58
80,2,오후 4:36:16.2,2.44,24.44,3.13,4.0
81,2,오후 4:36:21.2,2.81,24.56,3.48,3.61
82,2,오후 4:36:26.2,2.05,27.39,4.14,3.55
83,2,오후 4:36:31.2,3.41,25.23,4.15,3.15
84,2,오후 4:36:36.2,2.14,27.02,3.57,3.4
85,2,오후 4:36:41.2,2.22,27.47,3.93,3.5
86,2,오후 4:36:46.2,2.96,26.35,3.25,4.18
87,2,오후 4:36:51.2,1.68,25.56,4.12,4.2
88,2,오후 4:36:56.2,1.86,26.03,3.92,3.74
89,2,오후 4:37:01.2,2.43,25.93,4.36,3.63
90,2,오후 4:37:06.2,1.78,24.58,4.42,4.59
91,2,오후 4:37:11.2,2.51,24.93,3.21,4.35
92,2,오후 4:37:16.2,2.78,26.35,3.78,4.52
93,2,오후 4:37:21.2,2.85,23.75,3.06,4.64
94,2,오후 4:37:26.2,1.69,26.31,3.98,4.23
95,2,오후 4:37:31.2,2.44,27.14,3.04,4.55
96,2,오후 4:37:36.2,2.25,21.48,3.55,4.35
97,2,오후 4:37:41.2,2.2,21.25,4.44,3.32
98,2,오후 4:37:46.2,2.82,23.65,3.38,4.83
99,2,오후 4:37:51.3,1.78,21.67,4.47,4.68
100,2,오후 4:37:56.3,2.8,25.19,3.48,3.04
101,2,오후 4:38:01.3,1.84,23.04,4.18,4.68
102,2,오후 4:38:06.3,1.84,24.69,3.75,3.97
103,2,오후 4:38:11.3,2.42,23.44,3.17,3.09
104,2,오후 4:38:16.3,2.17,22.03,4.06,3.83
105,2,오후 4:38:21.3,2.85,24.78,3.52,4.47
106,2,오후 4:38:26.3,2.52,27.7,3.56,3.31
107,2,오후 4:38:31.3,1.98,25.4,3.31,3.06
108,2,오후 4:38:36.3,1.83,25.11,4.06,3.4
109,2,오후 4:38:41.3,2.3,24.39,3.54,4.23
110,2,오후 4:38:46.3,1.6,24.01,4.23,4.24
111,2,오후 4:38:51.3,2.48,25.26,3.1,4.44
112,2,오후 4:38:56.3,2.99,23.54,4.45,3.54
113,2,오후 4:39:01.3,2.72,25.42,3.47,3.96
114,2,오후 4:39:06.3,2.38,24.48,3.64,3.36
115,2,오후 4:39:11.3,2.19,26.86,3.14,3.96
116,2,오후 4:39:16.3,2.28,26.46,3.82,4.78
117,2,오후 4:39:21.3,1.8,27.48,3.96,3.59
118,2,오후 4:39:26.3,2.17,25.43,3.42,3.92
119,2,오후 4:39:31.3,1.55,24.8,3.82,3.15
120,2,오후 4:39:36.4,1.9,27.29,4.13,3.26
121,2,오후 4:39:41.4,2.5,25.71,4.14,3.53
122,2,오후 4:39:46.4,2.6,25.99,3.44,3.04
123,2,오후 4:39:51.4,2.43,27.65,3.45,3.48
124,2,오후 4:39:56.4,1.67,22.01,3.69,4.4
125,2,오후 4:40:01.4,2.2,24.99,3.98,4.14
126,2,오후 4:40:06.4,2.84,22.55,3.12,4.64
127,2,오후 4:40:11.4,2.1,25.3,3.73,4.23
128,2,오후 4:40:16.4,1.87,22.83,3.84,4.95
129,2,오후 4:40:21.4,1.56,22.2,3.82,3.25
130,2,오후 4:40:26.4,2.05,23.73,3.89,3.41
131,2,오후 4:40:31.4,1.74,24.24,3.64,4.38
132,2,오후 4:40:36.4,1.65,26.7,3.07,3.85
133,2,오후 4:40:41.4,2.29,22.56,3.92,4.08
134,2,오후 4:40:46.4,2.45,26.27,3.82,3.87
135,2,오후 4:40:51.4,2.09,22.28,3.5,4.7
136,2,오후 4:40:56.4,1.65,25.22,3.23,4.97
137,2,오후 4:41:01.4,2.87,24.56,3.79,4.01
138,2,오후 4:41:06.4,1.76,22.38,3.13,3.27
139,3,오후 4:41:34.1,2.81,24.62,4.19,3.2
140,3,오후 4:41:39.1,1.89,23.68,4.49,4.61
141,3,오후 4:41:44.1,2.42,24.57,4.37,3.89
142,3,오후 4:41:49.1,2.97,27.86,3.27,4.48
143,3,오후 4:41:54.1,1.52,25.58,4.1,4.22
144,3,오후 4:41:59.2,1.55,22.84,4.21,4.69
145,3,오후 4:42:04.2,1.54,21.66,4.31,3.59
146,3,오후 4:42:09.2,2.06,21.07,4.16,4.17
147,3,오후 4:42:14.2,2.74,25.62,4.27,3.1
148,3,오후 4:42:19.2,1.9,24.48,3.89,4.82
149,3,오후 4:42:24.2,1.57,25.14,4.11,3.87
150,3,오후 4:42:29.2,2.8,24.59,3.46,3.48
151,3,오후 4:42:34.2,1.62,26.52,3.16,3.9
152,3,오후 4:42:39.2,2.84,23.18,3.89,4.54
153,3,오후 4:42:44.2,2.18,21.8,3.95,3.46
154,3,오후 4:42:49.2,2.91,22.3,3.17,4.06
155,3,오후 4:42:54.2,2.65,21.34,3.19,3.1
156,3,오후 4:42:59.2,2.7,26.4,3.88,3.15
157,3,오후 4:43:04.2,2.99,26.51,3.29,4.6
158,3,오후 4:43:09.2,1.58,23.41,3.4,3.17
159,3,오후 4:43:14.2,2.25,27.68,4.34,3.54
160,3,오후 4:43:19.2,1.7,25.39,3.92,4.74
161,3,오후 4:43:24.2,2.96,22.28,4.01,4.72
162,3,오후 4:43:29.2,1.89,23.43,3.55,4.12
163,3,오후 4:43:34.2,2.27,25.94,3.68,3.83
164,3,오후 4:43:39.2,2.73,24.87,3.2,3.4
165,3,오후 4:43:44.2,1.71,23.49,3.2,4.18
166,3,오후 4:43:49.3,1.86,26.46,4.35,3.64
167,3,오후 4:43:54.3,2.39,27.3,3.25,3.08
168,3,오후 4:43:59.3,2.28,24.8,3.98,4.94
169,3,오후 4:44:04.3,1.7,24.46,4.43,4.96
170,3,오후 4:44:09.3,2.63,24.78,3.38,3.87
171,3,오후 4:44:14.3,2.19,25.83,3.35,3.77
172,3,오후 4:44:19.3,2.41,27.5,3.72,3.29
173,3,오후 4:44:24.3,2.95,22.83,3.4,4.01
174,3,오후 4:44:29.3,2.05,24.79,3.4,3.53
175,3,오후 4:44:34.3,2.1,23.58,3.02,3.05
176,3,오후 4:44:39.3,2.9,24.23,3.64,3.56
177,3,오후 4:44:44.3,2.13,25.49,3.9,3.45
178,3,오후 4:44:49.3,1.95,21.6,3.82,3.47
179,3,오후 4:44:54.3,2.3,25.03,3.68,3.43
